k-name,k-quote,e-name,e-quote
엘라 휠러 윌콕스, 우정이 바탕이 되지 않는 모든 사랑은 모래 위에 지은 집과 같다. ,Ella Wheeler Wilcox,"All love that has not friendship for its base, is like a mansion built upon sand."
아이스 티, 열정은 세상을 돌게 한다. 사랑은 세상을 좀 더 안전한 곳으로 만들 뿐이다. ,Ice T,Passion makes the world go round. Love just makes it a safer place.
가브리엘(코코)샤넬, 세기의 사랑일지라도 참고 견뎌내야 한다. ,Gabriel Coco Chanel,Great loves too must be endured.
오드리 햅번, 나는 애정을 받을 엄청난 욕구와 그것을 베풀 엄청난 욕구를 타고났다. ,Audrey Hepburn,"I was born with an enormous need for affection, and a terrible need to give it."
윌리엄 셰익스피어," 모두를 사랑하되, 몇 사람만 믿으라. 누구에게도 잘못을 저지르지 말라. ",William Shakespeare,"Love all, trust a few. Do wrong to none."
프레드리히 니체, 남들이 우리와 다르게 살아가고 행동하며 경험한다는 사실을 알고 이에 기뻐하는 것이 사랑 아니고 무엇이겠는가? ,Friedrich Nietzsche,"What else is love but understanding and rejoicing in the fact that another person lives, acts, and experiences otherwise than we do?"
마더 테레사, 멀리 있는 사람을 사랑하기는 쉽다. 가까이 있는 사람을 사랑하기란 항상 쉬운 것만은 아니다. 기아로부터 사람들을 구제하기 위해서 한 움큼의 쌀을 주는 것이 자신의 집에 있는 이의 외로움과 고통을 덜어주는 것보다 더 쉽다. 당신의 집에 사랑을 가져다 주어라. 가정이야말로 우리의 사랑이 시작되는 곳이어야 하기 때문이다. ,Mother Teresa,It is easy to love the people far away. It is not always easy to love those close to us. It is easier to give a cup of rice to relieve hunger than to relieve the loneliness and pain of someone unloved in our home. Bring love into your home for this is where our love for each other must start.
윌리엄 서머셋 모옴, 중요한 것은 사랑을 받는 것이 아니라 사랑을 하는 것이었다. ,William Somerset Maugham,The important thing was to love rather than to be loved.
프레드리히 니체, 사랑으로 행해진 일은 언제나 선악을 초월한다. ,Friedrich Nietzsche,That which is done out of love always takes place beyond good and evil.
존 셰필드, 서로를 용서하는 것이야 말로 가장 아름다운 사랑의 모습이다. ,John Sheffield,"Tis the most tender part of love, each other to forgive."
윌리엄 서머셋 모옴, 사랑을 하는 사람과 사랑을 받는 사람은 항상 따로 있어. ,William Somerset Maugham,There's always one who loves and one who lets himself be loved.
조쉬 브랜드, 중력. 중력 때문에 땅에 설 수 있지. 우주에는 중력이 전혀 없어. 발이 땅에 붙어있지 못하고 둥둥 떠다녀야 해. 사랑에 빠진다는 게 바로 그런 느낌일까? ,Josh Brand,"Gravity. It keeps you rooted to the ground. In space, there's not any gravity. You just kind of leave your feet and go floating around. Is that what being in love is like?"
마더 테레사, 나는 내가 아픔을 느낄만큼 사랑하면 아픔은 사라지고 더 큰 사랑만이 생겨난다는 역설을 발견했다. ,Mother Teresa,"I have found the paradox that if I love until it hurts, then there is no hurt, but only more love."
로이스 맥마스터 부욜, 정직은 서로의 피부 속까지 들어가서 살만큼 가까워질 수 있는 유일한 방법이다. ,Lois McMaster Bujold,"Honesty is the only way with anyone, when you'll be so close as to be living inside each other's skins."
앨런 왓츠, 실제로 느끼지 못하는 사랑을 느끼는 척 하지 말라. 사랑은 우리가 좌지우지 할 수 없으므로 ,Alan Watts,"Never pretend to a love which you do not actually feel, for love is not ours to command."
블레이즈 파스칼, 정신이 명료함은 열정도 명료함을 뜻한다. 때문에 위대하고 명료한 정신을 지닌 자는 열정적으로 사랑하고 자신이 사랑하는 대상을 분명히 안다. ,Blaise Pascal,"Clarity of mind means clarity of passion, too; this is why a great and clear mind loves ardently and sees distinctly what it loves."
프레드리히 니체, 사랑에 의해 행해지는 것은 언제나 선악을 초월한다. ,Friedrich Nietzsche,What is done out of love always takes place beyond good and evil.
로버트 프로스트, 사랑은 거부할 수 없이 열망하게 되는 거부할 수 없는 열망이다. ,Robert Frost,Love is an irresistible desire to be irresistibly desired.
아이리스 머독, 사랑은 자신 이외에 다른 것도 존재한다는 사실을 어렵사리 깨닫는 것이다. ,Iris Murdoch,Love is the difficult realization that something other than oneself is real.
칼 융, 두 사람이 만나는 것은 두 가지 화학 물질이 접촉하는 것과 같다. 어떤 반응이 일어나면 둘다 완전히 바뀌게 된다. ,Carl Jung,"The meeting of two personalities is like the contact of two chemical substances: if there is any reaction, both are transformed."
매들린 랭글, 어린 시절 우리는 어른이 되면 더 이상 나약하지 않을 거라 생각했다. 하지만 어른이 된다는 것은 나약함을 받아들이는 것이다. 살아있다는 것은 나약하다는 것이다. ,Madeleine L'Engle,"When we were children, we used to think that when we were grown-up we would no longer be vulnerable. But to grow up is to accept vulnerability... To be alive is to be vulnerable."
공자," 허물이 있다면, 버리기를 두려워말라. ",Confucius,"When you have faults, do not fear to abandon them."
생텍쥐페리, 아침에 몸단장을 하고 나면 정성들여 별의 몸단장을 해주어야 해. ,Antoine de Saint-Exupery,"When you've finished getting yourself ready in the morning, you must go get the planet ready."
벤자민 프랭클린, 인내할 수 있는 사람은 그가 바라는 것은 무엇이든지 손에 넣을 수 있다. ,Benjamin Franklin,He that can have patience can have what he will.
W. H. 톰슨," 우리 중 아무도, 심지어 우리 중 가장 어린 사람도 잘못이 없지 않다. ",W. H. Thompson,We are none of us infallible--not even the youngest of us.
벤자민 프랭클린," 그대는 인생을 사랑하는가? 그렇다면 시간을 낭비하지 말라, 시간이야말로 인생을 형성하는 재료이기 때문이다. ",Benjamin Franklin,"Dost thou love life? Then do not squander time, for that is the stuff life is made of."
소크라테스, 인간사에는 안정된 것이 하나도 없음을 기억하라. 그러므로 성공에 들뜨거나 역경에 지나치게 의기소침하지 마라. ,Socrates,"Remember that there is nothing stable in human affairs; therefore avoid undue elation in prosperity, or undue depression in adversity."
윌리엄 셰익스피어, 우리 안에는 활기와 강력한 욕정이 자리잡고 있다. ,William Shakespeare,We have some salt of our youth in us.
커트 코베인, 젊은 날의 의무는 부패에 맞서는 것이다. ,Kurt Cobain,The duty of youth is to challenge corruption.
크리스토퍼 몰리, 인생은 외국어이다. 모든 사람이 그것을 잘못 발음한다. ,Christopher Morley,Life is a foreign language; all men mispronounce it.
벤자민 프랭클린, 오래 살기를 원하면 잘 살아라. 어리석음과 사악함이 수명을 줄인다. ,Benjamin Franklin,"If you wouldst live long, live well, for folly and wickedness shorten life."
피터 드 브리스, 인생은 밀림 속의 동물원이다. ,Peter De Vries,Life is a zoo in a jungle.
윌리엄 셰익스피어, 인생은 백치가 지껄이는 이야기와 같다. 시끄럽고 정신없으나 아무 뜻도 없다. ,William Shakespeare,"Life is a tale told by an idiot -- full of sound and fury, signifying nothing."
레프 톨스토이, 작은 변화가 일어날 때 진정한 삶을 살게 된다. ,Leo Tolstoy,True life is lived when tiny changes occur.
오드리 햅번," 나는 매우 일찍 인생을 무조건 받아들이기로 결정했다. 나는 인생이 나를 위해 특별한 것을 해주기를 결코 기대하지 않았으나, 나는 내가 희망했던 것보다 훨씬 더 많은 것을 성취한 것 같았다. 대부분의 경우 그런 일은 내가 찾지 않아도 저절로 일어났다. ",Audrey Hepburn,"I decided, very early on, just to accept life unconditionally; I never expected it to do anything special for me, yet I seemed to accomplish far more than I had ever hoped. Most of the time it just happened to me without my ever seeking it."
샘 레븐슨, 지구 어딘가에서 10초마다 여성이 아기를 낳는다. 이 여성을 찾아 당장 중단시켜야 한다. ,Sam Levenson,"Somewhere on this globe, every ten seconds, there is a woman giving birth to a child. She must be found and stopped."
